repo_language,C,C#,C++,CMake,CSS,Clojure,CodeQL,DM,Dart,Go,Groovy,HTML,Haxe,Inno Setup,Java,JavaScript,Julia,Kotlin,Lean,Lua,Markdown,Mustache,Nix,Objective-C,PHP,PowerShell,Python,Rich Text Format,Ruby,Rust,SCSS,Scala,Shell,Tcl,TypeScript,Vim script,Vue,Zig,nan
2020-01-31,103107,164277,395385,10806,,6746,,22470,60118,305383,9647,75960,,,143507,293715,41784,16269,6992,,,3830,46451,9106,95379,57577,318154,8297,45343,63665,,50121,80666,6988,335407,5130,,6532,38621
2020-04-30,118181,224046,473062,15853,,6818,3934.0,18824,66974,340048,12214,91101,,,181726,311794,48464,18666,20199,,,7906,55019,13848,94840,87854,409334,6655,60986,87393,,42303,89019,8371,417039,6201,,5694,50042
2020-07-31,127025,233695,497146,15859,,6730,5535.0,31678,69293,360952,15233,98512,,,201436,295513,44522,31835,29239,3849.0,167.0,8128,51023,14564,93571,77726,449782,5150,58820,85374,,50963,92204,9466,421800,6419,3998.0,6076,62206
2020-10-31,132956,235841,524923,16664,,14988,7048.0,33004,69870,385828,14653,123683,,,242086,357835,47706,20152,30955,9109.0,5716.0,10098,75522,10049,109264,79038,484455,6390,99218,88673,,55948,91516,9863,463124,7588,11888.0,9700,62233
2021-01-31,146389,248430,526042,15910,,17032,9332.0,51360,69551,425616,13812,124029,,,267351,363571,52539,25510,38995,8296.0,20546.0,10557,87569,9125,105858,94660,504020,10791,81792,91872,4192.0,38958,109716,9385,503406,7835,5948.0,7321,56741
2021-04-30,147263,240565,548707,17711,,19156,8480.0,44424,61945,448559,14853,124201,,,277375,355416,54202,27883,33677,5667.0,23875.0,9549,90023,13556,104768,150605,536622,9953,78582,96203,7420.0,46521,106365,9601,513207,9705,5776.0,7597,76955
2021-07-31,131243,229512,542931,21045,,19203,6989.0,39273,93107,418048,15498,118154,845.0,,268714,376752,48863,24804,36928,7224.0,27979.0,9044,79718,16257,94180,162932,522105,14047,73146,85895,13467.0,39477,101128,8060,468659,12925,12122.0,5371,78431
2021-10-31,114500,147660,412714,16291,,17038,6098.0,34506,38444,367615,12848,93874,6971.0,,232741,317071,38473,16796,33303,6510.0,16770.0,7112,72042,9908,71560,130701,413578,8076,62329,81307,11968.0,26286,87990,9957,387716,10746,9960.0,5592,118935
2022-01-31,148906,217814,520140,18515,,29034,9971.0,44690,52644,498916,13258,138226,8344.0,54.0,330545,456507,52354,22587,47665,9587.0,29840.0,10887,87476,14709,88248,248323,566695,23389,76597,109659,11815.0,20655,89242,9017,503075,12464,15033.0,8081,150020
2022-04-30,143166,201650,504958,19469,9453.0,30405,8839.0,44784,61159,448856,12682,133803,10044.0,26343.0,323982,460957,43198,22694,44646,7124.0,36583.0,14256,84321,12516,81128,150091,536356,9080,82467,120523,3583.0,17979,94620,7937,501335,15187,13457.0,5725,164021
2022-07-31,167165,225795,541873,18424,2.0,28371,9236.0,40484,64151,478619,20903,155508,8185.0,,371568,465334,46039,25556,41160,7152.0,47312.0,16918,91831,14960,82921,270194,612555,7453,85288,123321,587.0,19758,134560,9904,506987,13878,11842.0,9956,151012
2022-10-31,143008,210964,515772,17491,1.0,29563,12055.0,42067,52120,445957,18823,135645,6448.0,,335474,487807,45542,25584,34185,5869.0,35652.0,13018,92954,13996,87944,196112,1094711,5821,125928,112758,83.0,23162,143098,8054,501138,13254,9218.0,8794,147147
2023-01-31,154113,210400,569155,19503,2.0,33997,9166.0,36397,60754,534943,19435,160730,3512.0,1.0,335754,509222,46747,21622,22714,5253.0,36859.0,15145,102700,14236,98978,165855,1410214,9068,97720,130658,112.0,22451,150977,8327,533423,14836,8457.0,8296,147736
